"		지점번호",지점명,date,avg_temp,max_temp,"	최고기온시각",min_temp,최저기온시각일교차,
"		108",서울,1981-04-05,8.9,10.4,13:48,6.8,24:00:00,3.6
"		108",서울,1981-04-06,9.9,17.4,15:27,4.7,7:55,12.7
"		108",서울,1981-04-07,14.3,23.2,14:41,5.8,4:46,17.4
"		108",서울,1981-04-08,17.7,23.9,15:29,11.9,6:18,12
"		108",서울,1982-04-02,9.8,11.2,11:30,8.3,7:00,2.9
"		108",서울,1982-04-03,10.7,15.2,17:02,6.9,7:05,8.3
"		108",서울,1982-04-04,10.8,15.8,15:18,5.5,6:33,10.3
"		108",서울,1982-04-05,10.4,17.7,15:10,5,6:31,12.7
"		108",서울,1982-04-06,11,18.1,13:51,4.6,6:50,13.5
"		108",서울,1982-04-07,11.5,19.7,15:33,5.4,7:00,14.3
"		108",서울,1982-04-08,9.1,13,13:06,5.6,24:00:00,7.4
"		108",서울,1983-04-02,6.3,9.3,12:37,2.5,24:00:00,6.8
"		108",서울,1983-04-03,3.2,5.5,11:40,0.8,7:12,4.7
"		108",서울,1983-04-04,6,11,15:12,1.1,5:20,9.9
"		108",서울,1983-04-05,11.5,17,16:22,5.4,4:48,11.6
"		108",서울,1983-04-06,15.2,22,15:07,7.8,5:20,14.2
"		108",서울,1983-04-07,15.3,21.6,14:45,10.6,6:20,11
"		108",서울,1983-04-08,15.9,23.5,15:37,9,6:39,14.5
"		108",서울,1984-04-02,7.9,12.9,14:54,3.6,6:35,9.3
"		108",서울,1984-04-03,12.2,20.3,15:55,6.2,6:45,14.1
"		108",서울,1984-04-04,14.8,20.2,15:21,10.1,2:35,10.1
"		108",서울,1984-04-05,8.9,13.6,0:00,2.4,24:00:00,11.2
"		108",서울,1984-04-06,3.7,8.4,14:30,0.1,6:23,8.3
"		108",서울,1984-04-07,6,13.5,14:47,0.4,6:41,13.1
"		108",서울,1984-04-08,10.2,16.9,14:52,2.5,6:00,14.4
"		108",서울,1985-04-02,8.5,14.5,14:52,2.9,7:00,11.6
"		108",서울,1985-04-03,7.9,9.3,0:35,5.9,24:00:00,3.4
"		108",서울,1985-04-04,4.4,7.4,16:30,2.7,6:00,4.7
"		108",서울,1985-04-05,7,14.8,14:19,2.2,6:30,12.6
"		108",서울,1985-04-06,9,15.2,15:09,3.1,5:47,12.1
"		108",서울,1985-04-07,12,19.3,14:36,5.4,6:45,13.9
"		108",서울,1985-04-08,12.4,20.1,14:57,6.7,6:40,13.4
